STATE,LATITUDE,LONGITUDE,DATETIME,PR,RMAX,RMIN,SPH,SRAD,TMMN,TMMX,VS,BI,FM100,FM1000,ERC,ETR,PET,VPD
VA,37.9894999990845,-78.968883,2018-03-17,2.4,65.8,38.8,0.00272,135.1,272.6,281.1,3.6,0,10.7,15.7,29,3,2.1,0.41
VA,37.9894999990845,-78.968883,2018-03-18,0,67.9,25.2,0.00285,248,272.8,287.7,2.7,32,10.2,15.3,43,4.2,3.1,0.69
VA,37.9894999990845,-78.968883,2018-03-19,18.3,81.9,37.7,0.00396,178.5,274.8,287.1,3.7,0,14.4,16.2,24,3.8,2.7,0.53
VA,37.9894999990845,-78.968883,2018-03-20,17.4,100,79.8,0.00363,63.6,269.4,275.5,7.6,0,19.3,17.8,14,0.6,0.5,0.03
VA,37.9894999990845,-78.968883,2018-03-21,2.9,96.1,73.8,0.003,129.2,268.8,273.9,4.3,0,19.8,18.2,14,1.1,0.9,0.08
VA,37.9894999990845,-78.968883,2018-03-22,0,74.1,35.5,0.00237,182.5,269.1,280.3,7.5,39,17,18,27,3.7,2.5,0.37
VA,37.9894999990845,-78.968883,2018-03-23,0,72,28.5,0.00212,209.5,268,281.6,5.4,35,14.9,18,31,3.9,2.7,0.43
VA,37.9894999990845,-78.968883,2018-03-24,0,75.3,37.2,0.00239,249.1,269,279.8,2.4,25,13.9,17.7,32,2.8,2.2,0.34
VA,37.9894999990845,-78.968883,2018-03-25,0,69.5,40,0.00254,194.3,270.9,279.7,6.7,40,13,17.5,33,3.5,2.4,0.35
VA,37.9894999990845,-78.968883,2018-03-26,0,73.4,36.1,0.0028,234.8,271.5,282.5,6.1,40,12.3,16.8,35,4.1,2.9,0.43
VA,37.9894999990845,-78.968883,2018-03-27,5.3,82.8,50.3,0.00337,70.4,272.4,280.7,4.7,0,14.1,16.9,22,2.3,1.6,0.29
VA,37.9894999990845,-78.968883,2018-03-28,1.7,100,55.3,0.00719,125.3,278.8,290.8,5.8,0,15.8,17,21,3.1,2.3,0.35
VA,37.9894999990845,-78.968883,2018-03-29,1.4,95.3,43.3,0.00882,229,284.3,297.8,7.2,0,16.4,17.3,20,6.7,4.7,0.85
VA,37.9894999990845,-78.968883,2018-03-30,0,100,43.8,0.00612,241,271.2,291.7,8.2,42,16.8,17.6,29,4.2,3,0.38
VA,37.9894999990845,-78.968883,2018-03-31,0,65.7,23,0.00292,276.6,273.6,289.3,4.8,36,14.2,17.2,34,6,4.2,0.78
VA,37.9894999990845,-78.968883,2018-04-01,4.2,80.9,35.2,0.0047,163.2,277.1,290.9,5.1,0,14.7,17.5,22,5.1,3.5,0.69
VA,37.9894999990845,-78.968883,2018-04-02,1.8,100,78.2,0.00606,170.8,276.3,283.2,4.4,0,17.3,17.7,16,1.5,1.4,0.06
VA,37.9894999990845,-78.968883,2018-04-03,1.2,100,52.9,0.00693,214.9,278.8,291,6.6,0,17.8,17.5,18,4,3,0.4
VA,37.9894999990845,-78.968883,2018-04-04,0.3,100,38.7,0.00491,216.7,270.8,290.2,12.8,54,17.6,17.5,28,5.3,3.6,0.47
VA,37.9894999990845,-78.968883,2018-04-05,0,54.7,22.3,0.00224,273.3,272,285.9,4.9,36,14.5,17.1,34,5.5,3.9,0.67
VA,37.9894999990845,-78.968883,2018-04-06,0,65.7,21.2,0.00356,259.2,276,293.8,8.6,52,12.5,16.9,37,9,6,1.04
VA,37.9894999990845,-78.968883,2018-04-07,1.6,100,68.8,0.00382,82.7,268.7,278.3,4.6,0,15.3,17.3,19,1,0.8,0.07
VA,37.9894999990845,-78.968883,2018-04-08,0,58.8,25.4,0.00212,250.2,270.3,283.3,4.2,34,13.1,17,35,4.5,3.2,0.54
VA,37.9894999990845,-78.968883,2018-04-09,1.1,84.2,69,0.00335,81.5,271.8,276.4,4.1,0,14.4,16.8,21,1.4,1.1,0.14
VA,37.9894999990845,-78.968883,2018-04-10,0,66.5,34.6,0.00317,223.9,274.2,285.1,2.8,28,13,16.2,36,3.8,2.9,0.54
VA,37.9894999990845,-78.968883,2018-04-11,0,65,27,0.00328,175.3,275,289.1,4,35,11.5,15.8,39,5.1,3.5,0.75
VA,37.9894999990845,-78.968883,2018-04-12,0,61.3,22.4,0.00454,225.1,280.5,297,8.6,56,10.4,15.6,43,10.2,6.7,1.29
VA,37.9894999990845,-78.968883,2018-04-13,0,61.5,24.3,0.00631,277.6,285.4,301.3,7.3,52,9.6,15.4,44,11.3,7.6,1.65
VA,37.9894999990845,-78.968883,2018-04-14,0,79.4,38.6,0.00874,276.9,286.6,299.6,6.3,46,10.1,15.2,42,8.2,5.9,1.15
VA,37.9894999990845,-78.968883,2018-04-15,69.8,100,53.3,0.00996,194,279.1,296.7,9.8,0,15.4,16.5,22,4.2,3.1,0.37
VA,37.9894999990845,-78.968883,2018-04-16,2.8,99.9,50.5,0.00432,121.1,273,284.4,9.3,0,16.7,16.6,21,3.2,2.2,0.3
VA,37.9894999990845,-78.968883,2018-04-17,0,59,29.7,0.00263,154.3,273.2,284.4,9.1,51,14.1,16.1,35,5.6,3.6,0.57
VA,37.9894999990845,-78.968883,2018-04-18,1.2,95.7,28.9,0.00513,197.9,276,295.2,5.1,0,14.6,16.2,25,6.4,4.4,0.91
VA,37.9894999990845,-78.968883,2018-04-19,0,97.3,39.5,0.00412,139,272.7,287.2,9.2,47,14.8,16.4,32,4.6,3.1,0.46
VA,37.9894999990845,-78.968883,2018-04-20,0,64.9,21.4,0.00266,301.5,272.1,289.1,4.7,38,12.8,16.3,38,6.2,4.4,0.78
VA,37.9894999990845,-78.968883,2018-04-21,0,65.4,23.2,0.00323,290.2,274.7,291,2.5,30,11.3,16,41,5.3,4,0.87
VA,37.9894999990845,-78.968883,2018-04-22,0,70.4,31.6,0.00459,232,278.7,292.1,4.8,39,10.8,15.4,41,6.1,4.4,0.84
VA,37.9894999990845,-78.968883,2018-04-23,3.6,71.7,39.9,0.00525,255.5,280.4,290.8,7.5,0,11.8,15.2,29,6.4,4.5,0.71
VA,37.9894999990845,-78.968883,2018-04-24,26.8,80.1,69.4,0.00617,73.3,281.2,285.2,8,0,16,16.4,21,2.7,1.8,0.28
VA,37.9894999990845,-78.968883,2018-04-25,1.1,100,50.2,0.00685,77.1,278.8,291.6,3.7,0,16.7,16.6,21,2.9,2,0.46
VA,37.9894999990845,-78.968883,2018-04-26,9,76.5,35.2,0.00574,285.8,280.8,294.1,2.5,0,17.3,17.3,20,5.4,4.3,0.88
VA,37.9894999990845,-78.968883,2018-04-27,0.9,100,50.2,0.0066,189.5,278.4,291,2.5,0,17.5,17.7,18,3.3,2.7,0.44
VA,37.9894999990845,-78.968883,2018-04-28,0,95.5,27.4,0.00519,277.2,276.2,296.2,6.2,38,16.3,17.8,30,7.9,5.5,0.99
VA,37.9894999990845,-78.968883,2018-04-29,0,65.6,32.2,0.00343,268.4,275.5,287.3,6.3,39,14,17.3,33,5.8,4.1,0.64
VA,37.9894999990845,-78.968883,2018-04-30,0,65.6,17.9,0.00324,312.1,274.7,294.7,4.9,39,11.9,16.7,39,8.2,5.7,1.13
VA,37.8434699990857,-79.6446299999999,2018-12-17,0,94,40,0.00363,112.6,271.7,283.2,7,30,19.9,21.3,19,2.9,1.8,0.35
VA,37.8434699990857,-79.6446299999999,2018-12-18,0,76.1,32,0.00257,112.6,270,280.9,2.2,19,17.7,21,22,1.7,1.1,0.39
VA,37.8434699990857,-79.6446299999999,2018-12-19,0,75.4,32.9,0.00308,108.7,272.6,283.2,3.2,22,16.8,21,23,2.4,1.5,0.45
VA,37.8434699990857,-79.6446299999999,2018-12-20,58.7,100,65.8,0.00568,47.8,276.8,283.3,4.8,0,20.9,22.5,7,1.3,0.9,0.17
VA,37.8434699990857,-79.6446299999999,2018-12-21,13.2,100,67.7,0.00636,55.2,274.9,284.6,6.7,0,23.6,23.3,4,0.9,0.6,0.07
VA,37.8434699990857,-79.6446299999999,2018-12-22,0,91.7,68.7,0.00331,107.3,270.8,275,7.2,23,22.6,23,11,1.1,0.8,0.11
VA,37.8434699990857,-79.6446299999999,2018-12-23,0,85.1,47.9,0.00318,74,271.3,279,3,17,21,22.6,14,1.5,1,0.25
VA,37.8434699990857,-79.6446299999999,2018-12-24,0,71.3,49.3,0.0027,111.4,271.6,276.3,5.5,25,18.6,22.3,17,2,1.3,0.25
VA,37.8434699990857,-79.6446299999999,2018-12-25,0,67.6,36.7,0.00241,39.1,270.8,278.3,1.4,15,16.8,22.2,19,1.3,0.9,0.34
VA,37.8434699990857,-79.6446299999999,2018-12-26,0,73.4,33.3,0.00257,110.8,270.5,280.4,1.8,18,16,22.1,21,1.5,1,0.38
VA,37.8434699990857,-79.6446299999999,2018-12-27,21.5,88.2,47.6,0.0033,88.1,271.3,279.6,4,0,19.8,23.1,8,1.8,1.1,0.26
VA,37.8434699990857,-79.6446299999999,2018-12-28,15.5,100,77.1,0.0075,59.2,278.4,285.3,5.3,0,23.3,23.7,2,0.6,0.5,0.03
VA,37.8434699990857,-79.6446299999999,2018-12-29,0,78,44.9,0.00412,111.9,276.2,283.6,5,22,20.4,23.2,15,2.7,1.7,0.4
VA,37.8434699990857,-79.6446299999999,2018-12-30,0,73,41,0.00407,83.9,277,284.6,2.2,16,18.2,22.8,17,2,1.3,0.47
VA,37.8434699990857,-79.6446299999999,2018-12-31,7.4,100,73.5,0.00436,83.9,268.8,278,1.6,0,17.9,23.1,10,0.4,0.4,0
VA,36.5682454090969,-76.54994792,2018-08-20,3.4,99.8,56.1,0.0172,214.9,295.4,304.2,2.7,0,19.8,23.4,7,4.9,4.2,0.8
VA,36.5682454090969,-76.54994792,2018-08-21,8.7,97.3,57.3,0.01834,168.5,296.9,305,4.5,0,20.6,23.9,6,5.2,4,0.85
VA,36.5682454090969,-76.54994792,2018-08-22,0,100,53.2,0.0171,197.4,292.6,304.9,3.9,19,19.4,23.8,14,4.9,4,0.7
VA,36.5682454090969,-76.54994792,2018-08-23,0,100,46.3,0.01194,309.9,286.5,300.7,4.2,21,18.6,23.7,16,5.8,4.8,0.67
VA,36.5682454090969,-76.54994792,2018-08-24,0,100,45.4,0.01327,306,288.1,302.8,3.5,20,17.9,23.5,17,6,5,0.78
VA,36.5682454090969,-76.54994792,2018-08-25,0,100,52.8,0.01568,300.7,291.3,303.5,2.7,18,17.7,23,17,5.5,4.9,0.66
VA,36.5682454090969,-76.54994792,2018-08-26,0,100,50.9,0.01648,287.1,293.3,304.9,2.6,19,17.5,22.4,18,5.8,5,0.85
VA,36.5682454090969,-76.54994792,2018-08-27,0,100,50.3,0.01799,270.1,294.7,306.6,3.8,23,17.3,22,19,6.4,5.3,0.95
VA,36.5682454090969,-76.54994792,2018-08-28,0,100,48.4,0.01771,261.7,295.4,306.9,4.2,24,17,21.7,20,6.8,5.5,1.09
VA,36.5682454090969,-76.54994792,2018-08-29,0,100,49.8,0.01843,269.2,295.9,307.2,4.7,26,16.9,21.6,21,7.1,5.6,1.06
VA,36.5682454090969,-76.54994792,2018-08-30,0,100,43.9,0.01807,284.6,294.3,308.7,2.9,21,16.7,21.6,21,6.8,5.6,1.22
VA,36.5682454090969,-76.54994792,2018-08-31,7.3,100,56.1,0.01842,228.9,293,305.4,2.7,0,18.3,21.9,11,4.6,4.1,0.58
VA,36.5682454090969,-76.54994792,2018-09-01,17.6,100,52.2,0.01732,174.9,292.3,305.9,2.8,0,20.8,22.8,8,4.4,3.6,0.78
VA,36.5682454090969,-76.54994792,2018-09-02,0,100,48.9,0.01711,226.5,294,306.7,1.9,16,19.6,22.4,17,5.1,4.3,1.05
VA,36.5682454090969,-76.54994792,2018-09-03,1.3,100,51.6,0.01745,180.3,294.1,306.2,1.9,0,19.1,22.2,10,4.3,3.6,0.93
VA,36.5682454090969,-76.54994792,2018-09-04,0,100,50.9,0.01763,261.2,292.3,306.6,2.2,18,18.5,22,18,5.3,4.6,0.83
VA,36.5682454090969,-76.54994792,2018-09-05,0,100,47.8,0.01736,260.6,293.2,307.3,2.4,19,18,22,19,5.7,4.9,1.04
VA,36.5682454090969,-76.54994792,2018-09-06,0,100,47.8,0.01738,240.2,293.7,307.3,2.5,19,17.7,22,19,5.6,4.7,1.07
VA,36.5682454090969,-76.54994792,2018-09-07,0,100,50.8,0.01832,161.8,293.2,307.3,2.1,17,17.6,21.7,18,4.1,3.4,0.88
VA,36.5682454090969,-76.54994792,2018-09-08,32.4,100,52.1,0.01758,138,294.7,306.2,2.7,0,20.4,22.3,9,4.2,3.3,0.96
VA,36.5682454090969,-76.54994792,2018-09-09,0.5,100,48.5,0.01588,119.5,293.9,305.5,2.8,18,19.5,22.1,17,4.3,3.3,1.07
VA,36.5682454090969,-76.54994792,2018-09-10,0,100,50.4,0.01643,157.7,294.1,305.5,1.9,16,18.8,21.9,17,4,3.3,1
VA,36.5682454090969,-76.54994792,2018-09-11,5.6,100,50.9,0.01694,173.3,294.3,305.9,2.2,0,19.4,22.1,10,4.4,3.6,0.99
VA,36.5682454090969,-76.54994792,2018-09-12,0,98,57.2,0.01804,243.6,296.4,305.2,4.1,22,18.8,22.1,17,5.9,4.8,0.88
VA,36.5682454090969,-76.54994792,2018-09-13,2.4,86.9,68.4,0.01736,169,297.8,301.8,9.9,0,18.3,22.2,9,5.8,4.2,0.69
VA,36.5682454090969,-76.54994792,2018-09-14,16.5,91.6,64.8,0.01644,146.8,296,301.7,9.9,0,20.8,23.2,6,5.5,3.9,0.67
VA,36.5682454090969,-76.54994792,2018-09-15,1.4,90.4,61.7,0.01593,136.1,295.7,301.9,7.9,0,19.6,22.5,8,5.5,3.9,0.75
VA,36.5682454090969,-76.54994792,2018-09-16,2.6,97,69.1,0.01712,132.1,295.7,301.4,6.4,0,19.6,22.5,8,3.9,3,0.5
VA,36.5682454090969,-76.54994792,2018-09-17,0,91.3,66.4,0.01772,133.3,297.3,302.6,6.3,25,18.6,22.3,15,4.7,3.4,0.68
VA,36.5682454090969,-76.54994792,2018-09-18,1.4,100,56.5,0.01684,143.8,292.4,304.2,5.2,0,18.6,22.3,10,4.3,3.3,0.63
VA,36.5682454090969,-76.54994792,2018-09-19,0,100,49.6,0.01495,240.7,290.7,304.1,3.8,22,18.3,22.3,18,5.4,4.3,0.82
VA,36.5682454090969,-76.54994792,2018-09-20,0,100,59.1,0.01507,237.6,288.3,301.6,2.9,19,18.3,22.3,17,3.8,3.4,0.35
VA,36.5682454090969,-76.54994792,2018-09-21,0,100,48.2,0.0141,237.5,291.2,303.5,2.2,18,18.2,21.8,19,4.8,4,0.91
VA,36.5682454090969,-76.54994792,2018-09-22,0,100,50.6,0.01564,194.1,291.9,304.6,3.2,21,18.1,21.3,19,4.8,3.8,0.85
VA,36.5682454090969,-76.54994792,2018-09-23,9.8,100,54.5,0.01585,146.3,292.1,303.7,3.2,0,19.8,21.8,10,3.9,3.1,0.71
VA,36.5682454090969,-76.54994792,2018-09-24,1.3,100,61.5,0.01551,133.2,292.1,301.5,4.4,0,19.7,21.9,9,3.5,2.7,0.5
VA,36.5682454090969,-76.54994792,2018-09-25,3.6,94.7,58.5,0.01591,146.8,294.9,302.7,3.3,0,19.7,22,9,4.1,3.2,0.79
VA,36.5682454090969,-76.54994792,2018-09-26,0.4,100,55,0.01664,217.2,294.2,304.4,2.4,17,19.2,22,16,4.6,3.9,0.82
VA,36.5682454090969,-76.54994792,2018-09-27,0.4,100,69.2,0.01694,165,294.8,301.2,3.3,18,19.4,22.1,15,3.4,2.9,0.44
VA,36.5682454090969,-76.54994792,2018-09-28,0,100,68.7,0.01558,164.1,286.5,299.9,3.3,18,19.5,21.9,15,1.9,1.9,0
VA,36.5682454090969,-76.54994792,2018-09-29,0,100,57.6,0.01465,167.1,286.6,301.5,2.9,18,19.2,21.5,17,2.9,2.5,0.32
VA,36.5682454090969,-76.54994792,2018-09-30,0,100,56.9,0.01319,218.5,285.4,299.9,3.1,20,19,21.2,19,3.3,2.9,0.33
VA,36.5682454090969,-76.54994792,2018-10-01,0,100,49.2,0.01252,225.2,287.7,301.7,2.9,20,18.7,21.2,20,4.5,3.6,0.75
VA,36.5682454090969,-76.54994792,2018-10-02,0,95.5,48.4,0.01278,222.4,291.2,302.3,3.7,23,18.4,21,21,5.5,4.2,0.98
VA,36.5682454090969,-76.54994792,2018-10-03,0,100,47,0.01447,212.6,290.1,304.9,2.1,19,18.2,21,21,4.5,3.7,0.96
VA,36.5682454090969,-76.54994792,2018-10-04,0,100,46,0.01486,213.8,292.4,305.7,2.7,21,18,20.9,21,5.2,4.1,1.16
VA,36.5682454090969,-76.54994792,2018-10-05,0,96.6,45.6,0.01517,183.9,293.8,306.2,2.6,20,17.9,20.7,21,5.1,3.9,1.28
VA,36.5682454090969,-76.54994792,2018-10-06,0,100,57.9,0.01537,152.4,290.7,302.7,2.5,19,18.2,20.5,19,3.3,2.7,0.57
VA,36.5682454090969,-76.54994792,2018-10-07,0,100,50.7,0.01513,206.9,291.7,304.5,2,19,18.2,20.2,22,4.2,3.5,0.9
VA,36.5682454090969,-76.54994792,2018-10-08,0,100,56,0.01482,208.6,292.3,302.6,4,24,18.3,20.2,21,4.8,3.7,0.76
VA,36.5682454090969,-76.54994792,2018-10-09,1.7,99.2,57.2,0.01503,149.7,293.2,302.5,3.7,0,18.7,20.2,13,4.2,3.2,0.78
VA,36.5682454090969,-76.54994792,2018-10-10,1.8,95.1,54.9,0.01597,194.4,294.9,304.2,4.8,0,18.9,20.4,13,5.6,4.2,0.96
VA,36.5682454090969,-76.54994792,2018-10-11,22.6,100,58.4,0.01575,147.9,287.2,303,6.7,0,21.6,21.5,9,3.3,2.5,0.35
VA,36.5682454090969,-76.54994792,2018-10-12,0,97.5,44.7,0.00833,211.5,284.2,296.3,4.9,25,20.5,21.4,18,4.9,3.5,0.72
VA,36.5682454090969,-76.54994792,2018-10-13,0,100,42.2,0.0071,163.1,280.6,294.5,3.7,22,19.8,21.2,19,3.9,2.8,0.63
VA,36.5682454090969,-76.54994792,2018-10-14,0,100,52.3,0.00853,91.8,283.4,294.4,2.2,17,19.5,21.1,17,2.4,1.8,0.5
VA,36.5682454090969,-76.54994792,2018-10-15,0.8,100,54.5,0.01364,163.3,290.9,301.6,4.7,0,19.4,21.1,11,4.5,3.3,0.74
VA,36.5682454090969,-76.54994792,2018-10-16,3.1,100,81.3,0.01177,117,288,293.1,3.2,0,20.7,21.4,8,1.5,1.4,0.09
VA,36.5682454090969,-76.54994792,2018-10-17,0,100,51.9,0.00879,149.4,281,295,3.4,20,20.2,21.4,17,2.8,2.1,0.41
VA,36.5682454090969,-76.54994792,2018-10-18,0,100,37.6,0.00493,202.5,274.9,290.3,4.6,26,19.5,21,20,3.9,2.7,0.52
VA,36.5682454090969,-76.54994792,2018-10-19,0,100,37.2,0.0058,199.4,277.9,293,2.5,20,19.1,20.9,21,3.4,2.5,0.65
VA,36.5682454090969,-76.54994792,2018-10-20,2.5,100,68.1,0.00981,56.8,280.8,292.8,4.6,0,19.9,21,10,1,0.8,0.07
VA,36.5682454090969,-76.54994792,2018-10-21,0,100,36.8,0.00428,196.7,273,288.4,6.5,31,19.4,20.9,21,4.1,2.7,0.47
VA,36.5682454090969,-76.54994792,2018-10-22,0,92,33.4,0.00434,195.1,275.5,289.9,2.8,21,18.8,20.9,22,3.4,2.4,0.61
VA,36.5682454090969,-76.54994792,2018-10-23,0,99.4,32.2,0.00559,187.7,278,294.4,4.1,26,18.5,20.6,22,4.7,3.2,0.79
VA,36.5682454090969,-76.54994792,2018-10-24,0,100,38.6,0.00473,188.9,274.1,289.3,5.4,29,18.5,20.6,22,3.8,2.6,0.48
VA,36.5682454090969,-76.54994792,2018-10-25,0,97.8,44.1,0.00452,183.4,275.2,286.8,2.7,21,18.7,20.4,21,2.5,1.9,0.4
VA,36.5682454090969,-76.54994792,2018-10-26,27.8,100,63.8,0.00784,69,278.6,290.2,4.8,0,21.7,21.5,8,1.4,1.1,0.15
VA,36.5682454090969,-76.54994792,2018-10-27,0.7,100,68,0.00779,166,280.8,289.2,4.8,0,21.4,21.5,8,1.9,1.5,0.17
VA,36.5682454090969,-76.54994792,2018-10-28,0,86.5,46.5,0.00625,155,281.7,291.1,5.9,27,20.1,21.4,18,4.2,2.8,0.57
VA,36.5682454090969,-76.54994792,2018-10-29,0,100,36.5,0.00556,179,275.2,292.6,5,27,19.5,21.4,20,4.1,2.8,0.58
VA,36.5682454090969,-76.54994792,2018-10-30,0,96.4,34.5,0.00488,177.4,276.5,291.3,2.9,21,19.1,21.3,20,3.4,2.4,0.64
VA,36.5682454090969,-76.54994792,2018-10-31,0,100,39.1,0.00672,171.7,278.9,294.7,5,27,18.9,21.2,20,4.3,2.9,0.65
VA,36.5682454090969,-76.54994792,2018-11-01,0.6,95.9,51.7,0.01032,163.5,287.8,298,6.9,0,18.4,21,12,5.1,3.4,0.73
VA,36.5682454090969,-76.54994792,2018-11-02,4.5,100,72.4,0.01255,114.4,286,296.1,6.9,0,19.9,21,10,1.5,1.2,0.1
VA,37.6139999990876,-80.038,2018-01-01,0,62.9,31.1,7.4e-4,106.5,256,264.6,5.5,41,11.7,14.5,42,1.2,0.8,0.13
VA,37.6139999990876,-80.038,2018-01-02,0,66.6,22.2,7.9e-4,121.5,256.1,269,3.4,35,11.4,14.3,44,1.4,0.9,0.19
VA,37.6139999990876,-80.038,2018-01-03,0,44.1,20.8,8.2e-4,107,261.6,270.2,1.9,28,10.6,14.1,46,1.3,0.8,0.25
VA,37.6139999990876,-80.038,2018-01-04,0,59.9,43.4,9.1e-4,117.6,259.1,263.6,10.6,62,10.5,14,44,1.4,0.9,0.11
VA,37.6139999990876,-80.038,2018-01-05,0,50.8,36.9,7.3e-4,118.7,258.4,262.6,7.7,52,10.1,13.8,45,1.4,0.9,0.13
VA,37.6139999990876,-80.038,2018-01-06,0,55.1,32.8,6.6e-4,125.4,256.2,262.6,5.1,42,10.3,13.5,46,1.1,0.7,0.12
VA,37.6139999990876,-80.038,2018-01-07,0,47.6,10.7,6.1e-4,104.6,257,272.6,2.2,32,9.8,13.2,50,1.6,1,0.29
VA,37.6139999990876,-80.038,2018-01-08,5.8,70.5,38,0.00229,58.4,268.9,277.5,2.5,0,13.4,13.9,30,1.6,1.1,0.29
VA,37.6139999990876,-80.038,2018-01-09,0,74.6,51.6,0.00388,101.3,275.4,281.2,2.9,28,14.6,14,38,1.8,1.2,0.31
VA,37.6139999990876,-80.038,2018-01-10,0,73.8,50,0.00418,87.6,276.6,282.7,3.5,29,15.1,14.2,35,2.1,1.4,0.36
VA,37.6139999990876,-80.038,2018-01-11,14.7,91.5,57.2,0.00628,43.5,279.4,287,4.3,0,19.3,15.7,20,2.1,1.4,0.32
VA,37.6139999990876,-80.038,2018-01-12,18.6,100,75.9,0.00892,40.2,268,288.4,5.5,0,22.5,17.2,14,0.3,0.3,0
VA,37.6139999990876,-80.038,2018-01-13,0,100,73.3,0.00222,105.3,260.6,269,7.8,32,22.6,17.5,20,0.2,0.2,0.01
